timestamp,snapshot,pod,cpu,ram
17:57:05,11,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:57:05,11,frontend-7bd6f45654-dnhzb,47m,41Mi
17:57:05,11,currencyservice-7c8fc8fc9c-rtbz4,37m,121Mi
17:57:05,11,recommendationservice-7444754ff5-kk4vc,35m,80Mi
17:57:05,11,productcatalogservice-65bbf699df-d9cxl,22m,42Mi
17:57:05,11,cartservice-db96d6fcc-tsdhc,22m,145Mi
17:57:05,11,adservice-574bff445c-k5l76,9m,274Mi
17:57:05,11,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:05,11,checkoutservice-5b6d96c9b7-fwtng,4m,37Mi
17:57:05,11,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:05,11,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:05,11,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:57:05,11,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:57:05,11,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:57:16,12,frontend-7bd6f45654-dnhzb,47m,43Mi
17:57:16,12,currencyservice-7c8fc8fc9c-rtbz4,40m,121Mi
17:57:16,12,recommendationservice-7444754ff5-kk4vc,31m,80Mi
17:57:16,12,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:57:16,12,cartservice-db96d6fcc-tsdhc,20m,145Mi
17:57:16,12,adservice-574bff445c-k5l76,10m,274Mi
17:57:16,12,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:16,12,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:16,12,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:16,12,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:57:16,12,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:57:16,12,productcatalogservice-65bbf699df-2hv25,2m,18Mi
17:57:16,12,productcatalogservice-65bbf699df-8ztwv,2m,16Mi
17:57:16,12,frontend-7bd6f45654-dnhzb,47m,43Mi
17:57:16,12,currencyservice-7c8fc8fc9c-rtbz4,40m,121Mi
17:57:16,12,recommendationservice-7444754ff5-kk4vc,31m,80Mi
17:57:16,12,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:57:16,12,cartservice-db96d6fcc-tsdhc,20m,145Mi
17:57:16,12,adservice-574bff445c-k5l76,10m,274Mi
17:57:16,12,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:16,12,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:16,12,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:16,12,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:57:16,12,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:57:16,12,productcatalogservice-65bbf699df-2hv25,2m,18Mi
17:57:16,12,productcatalogservice-65bbf699df-8ztwv,2m,16Mi
17:57:26,13,frontend-7bd6f45654-dnhzb,47m,43Mi
17:57:26,13,currencyservice-7c8fc8fc9c-rtbz4,40m,121Mi
17:57:26,13,recommendationservice-7444754ff5-kk4vc,31m,80Mi
17:57:26,13,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:57:26,13,cartservice-db96d6fcc-tsdhc,20m,145Mi
17:57:26,13,adservice-574bff445c-k5l76,10m,274Mi
17:57:26,13,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:26,13,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:26,13,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:26,13,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:57:26,13,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:57:26,13,productcatalogservice-65bbf699df-2hv25,2m,18Mi
17:57:26,13,productcatalogservice-65bbf699df-8ztwv,2m,16Mi
17:57:26,13,frontend-7bd6f45654-dnhzb,47m,43Mi
17:57:26,13,currencyservice-7c8fc8fc9c-rtbz4,40m,121Mi
17:57:26,13,recommendationservice-7444754ff5-kk4vc,31m,80Mi
17:57:26,13,productcatalogservice-65bbf699df-d9cxl,20m,42Mi
17:57:26,13,cartservice-db96d6fcc-tsdhc,20m,145Mi
17:57:26,13,adservice-574bff445c-k5l76,10m,274Mi
17:57:26,13,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:26,13,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:26,13,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:26,13,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:57:26,13,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:57:26,13,productcatalogservice-65bbf699df-2hv25,2m,18Mi
17:57:26,13,productcatalogservice-65bbf699df-8ztwv,2m,16Mi
17:57:36,14,frontend-7bd6f45654-dnhzb,55m,43Mi
17:57:36,14,currencyservice-7c8fc8fc9c-rtbz4,44m,121Mi
17:57:36,14,recommendationservice-7444754ff5-kk4vc,36m,80Mi
17:57:36,14,cartservice-db96d6fcc-tsdhc,26m,145Mi
17:57:36,14,productcatalogservice-65bbf699df-d9cxl,24m,42Mi
17:57:36,14,adservice-574bff445c-k5l76,11m,274Mi
17:57:36,14,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:36,14,checkoutservice-5b6d96c9b7-fwtng,4m,37Mi
17:57:36,14,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:36,14,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:36,14,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:57:36,14,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:57:36,14,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:57:36,14,frontend-7bd6f45654-dnhzb,55m,43Mi
17:57:36,14,currencyservice-7c8fc8fc9c-rtbz4,44m,121Mi
17:57:36,14,recommendationservice-7444754ff5-kk4vc,36m,80Mi
17:57:36,14,cartservice-db96d6fcc-tsdhc,26m,145Mi
17:57:36,14,productcatalogservice-65bbf699df-d9cxl,24m,42Mi
17:57:36,14,adservice-574bff445c-k5l76,11m,274Mi
17:57:36,14,emailservice-66944ff59-zvg4w,5m,56Mi
17:57:36,14,checkoutservice-5b6d96c9b7-fwtng,4m,37Mi
17:57:36,14,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:57:36,14,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:57:36,14,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:57:36,14,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:57:36,14,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:57:46,15,frontend-7bd6f45654-dnhzb,53m,43Mi
17:57:46,15,currencyservice-7c8fc8fc9c-rtbz4,43m,121Mi
17:57:46,15,recommendationservice-7444754ff5-kk4vc,36m,80Mi
17:57:46,15,cartservice-db96d6fcc-tsdhc,25m,145Mi
17:57:46,15,productcatalogservice-65bbf699df-d9cxl,24m,42Mi
17:57:46,15,adservice-574bff445c-k5l76,10m,274Mi
17:57:46,15,emailservice-66944ff59-zvg4w,5m,56Mi
